 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 5.699965E+00,   950,  2.986475E+00,  2.424391E-03, -2.986474E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.199190E-07, -3.463889E-06,  4.176575E-03,  5.000000E-01
 5.759965E+00,   960,  2.990177E+00,  2.154776E-03, -2.990176E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.890902E-07, -3.738427E-06,  5.054970E-03,  5.000000E-01
 5.819964E+00,   970,  2.993806E+00,  1.720335E-03, -2.993805E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.485901E-07, -4.011560E-06,  6.775631E-03,  5.000000E-01
 5.879963E+00,   980,  2.997361E+00,  1.169031E-03, -2.997361E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.919013E-07, -4.243374E-06,  1.054660E-02,  5.000000E-01
 5.939963E+00,   990,  3.000849E+00,  5.630085E-04, -3.000849E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.167996E-07, -4.409039E-06,  2.275974E-02,  5.000000E-01
 5.999962E+00,  1000,  3.004264E+00, -3.333304E-05, -3.004264E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.151306E-07, -4.486865E-06, -3.920951E-01,  5.000000E-01
 6.059961E+00,  1010,  3.007595E+00, -5.532349E-04, -3.007595E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.905375E-07, -4.482648E-06, -2.366491E-02,  5.000000E-01
 6.119960E+00,  1020,  3.010858E+00, -9.420488E-04, -3.010857E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.441145E-07, -4.387583E-06, -1.366369E-02,  5.000000E-01
 6.179960E+00,  1030,  3.014044E+00, -1.155155E-03, -3.014043E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.824317E-07, -4.235921E-06, -1.081053E-02,  5.000000E-01
 6.239959E+00,  1040,  3.017152E+00, -1.167456E-03, -3.017152E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.104568E-07, -4.036806E-06, -1.025706E-02,  5.000000E-01
 6.299958E+00,  1050,  3.020192E+00, -9.750411E-04, -3.020192E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.358224E-07, -3.811346E-06, -1.166589E-02,  5.000000E-01
