 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
  5100,  3.106532E+00,  9.117301E-04, -3.106532E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.010320E-07, -5.253751E-06,  1.768057E-02,  5.000000E-01
  5150,  3.106533E+00,  8.970703E-04, -3.106533E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.020031E-07, -5.328891E-06,  1.822864E-02,  5.000000E-01
  5200,  3.106533E+00,  8.701319E-04, -3.106533E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.011194E-07, -5.389124E-06,  1.900904E-02,  5.000000E-01
  5250,  3.106533E+00,  8.403260E-04, -3.106532E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.991647E-07, -5.413336E-06,  1.977511E-02,  5.000000E-01
  5300,  3.106534E+00,  8.044535E-04, -3.106534E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.959488E-07, -5.397476E-06,  2.059969E-02,  5.000000E-01
  5350,  3.106538E+00,  7.772066E-04, -3.106538E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.929266E-07, -5.368521E-06,  2.121004E-02,  5.000000E-01
  5400,  3.106543E+00,  7.538412E-04, -3.106543E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.898966E-07, -5.315892E-06,  2.165463E-02,  5.000000E-01
  5450,  3.106547E+00,  7.375013E-04, -3.106547E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.888409E-07, -5.277371E-06,  2.197360E-02,  5.000000E-01
  5500,  3.106545E+00,  7.276220E-04, -3.106545E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.879418E-07, -5.248213E-06,  2.214868E-02,  5.000000E-01
  5550,  3.106540E+00,  7.211928E-04, -3.106539E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.875097E-07, -5.231659E-06,  2.227538E-02,  5.000000E-01
